id,name,mentions,source_books
E43197,过载,1,
E43198,老化,1,
E43199,短路,1,
E43201,腐蚀,1,
E43203,磨损,1,
E43205,变形,1,
E43207,断相,1,
E43208,相间短路,1,
E43210,电源电压过低,1,
E43211,线圈过热,1,
E43212,电源电压过高,1,
E43214,触头过热,1,
E43215,触头接触不良,1,
E43216,环境温度过高,1,
E43217,触头过度磨损,1,
E43218,负载侧短路,1,
E43223,电网短路,1,
E43224,线圈短路,1,
E43225,螺丝松动,1,
E43231,触钉松动,1,
E43232,接触不良,1,
E43233,裂纹,1,
E43234,电刷磨损,1,
E43238,断路,1,
E43247,刷握松动,1,
E43248,轴承磨损,1,
E43249,电枢绕组短路,1,
E43250,长期过载,1,
E43253,扇叶变形,1,
E43254,绕组匝间短路,1,
E43255,缺油,1,
E43257,制冷剂严重泄漏,1,
E43258,变压器绕组断路,1,
E43259,变压器绕组短路,1,
E43264,线路发生断路,1,
E43268,过热,1,
E43270,管路泄漏,1,
E43272,电动机过热,1,
E43273,摩擦片变形,1,
E43274,线圈内部短路,1,
E43275,间隙过大,1,
E43276,空气断路,1,
E43278,螺钉松动,1,
E43280,管路堵塞,1,
E43284,合上空气断路,1,
E43285,机排气温度传感器短路,1,
E43286,主断路,1,
E43291,谐振电容器短路,1,
E43294,发电机励磁绕组有断路,1,
E43295,相复励变压器线圈短路,1,
E43297,固定好发电机过热,1,
E43300,泄漏,1,
E43301,达到过载,1,
E43306,油管泄漏,1,
E43307,污染,1,
E43309,自动空气断路,1,
E43310,形成短路,1,
E43313,绝缘损坏,1,
E43315,碳刷磨损,1,
E43317,间隙过小,1,
E43319,因而过载,1,
E43322,耐腐蚀,1,
E43323,放电电流过大,1,
E43324,各处短路,1,
E43325,外部短路,1,
E43326,发电机外部短路,1,
E43328,会使发电机过热,1,
E43330,秒过载,1,
E43333,万能式自动空气断路,1,
E43337,灯座触点接触不良,1,
E43338,灯管老化,1,
E43342,堵塞,1,
E43344,空冷器堵塞,1,
E43346,气阀间隙过大,1,
E43349,空冷器空气侧严重堵塞,1,
E43351,润滑不良,1,
E43353,冷却海水压力不足,1,
E43357,积炭,1,
E43365,最大磨损,1,
E43367,腐蚀磨损,1,
E43369,活塞过热,1,
E43371,连杆螺栓松动,1,
E43372,缸套磨损,1,
E43375,冷却不良,1,
E43380,活塞环磨损,1,
E43385,随着磨损,1,
E43386,只要设法测得磨损,1,
E43392,系统中活塞环磨损,1,
E43394,活塞环异常磨损,1,
E43396,缸异常磨损,1,
E43399,假设最大允许磨损,1,
E43400,最大允许磨损,1,
E43402,缸在活塞环磨损,1,
E43403,缸活塞环处于异常磨损,1,
E43407,有一条平均磨损,1,
E43409,时间范围内活塞环磨损,1,
E43413,平均磨损,1,
E43414,图中可以看出平均磨损,1,
E43416,仍假设最大磨损,1,
E43417,按照平均磨损,1,
E43420,空气滤清器堵塞,1,
E43421,透平保护格栅堵塞,1,
E43422,透平通流部分堵塞,1,
E43423,排气阀堵塞,1,
E43425,高腐蚀,1,
E43427,滑油温度过高,1,
E43429,疲劳磨损,1,
E43430,粘着磨损,1,
E43431,物件磨损,1,
E43432,但磨损,1,
E43437,液压油污染,1,
E43445,油液污染,1,
E43448,液压传动装置防过载,1,
E43460,滤油器堵塞,1,
E43478,液压元件磨损,1,
E43499,微振磨损,1,
E43544,封装置可以实现无泄漏,1,
E43545,密封元件本身磨损,1,
E43546,轻微磨损,1,
E43549,密封不严,1,
E43550,同时能补偿磨损,1,
E43553,具有外部泄漏,1,
E43561,内泄漏,1,
E43571,气蚀会产生过热,1,
E43575,螺纹连接部分不能松动,1,
E43576,不能松动,1,
E43577,滤油器网眼堵塞,1,
E43579,壳体紧固螺钉松动,1,
E43580,各部位均不能松动,1,
E43581,配合间隙过大,1,
E43582,单向阀内泄漏,1,
E43583,次侧测量内泄漏,1,
E43585,截止阀内泄漏,1,
E43586,自输出侧检查内泄漏,1,
E43587,密封老化,1,
E43589,引起内泄漏,1,
E43591,不能泄漏,1,
E43592,各安装部位不能松动,1,
E43593,这样可以防止因磨损,1,
E43600,自然老化,1,
E43604,油口均用专用塞头堵塞,1,
E43609,密封件磨损,1,
E43610,要原因是泵零部件磨损,1,
E43611,主要是泵内部泄漏,1,
E43612,零件磨损,1,
E43613,装配不当,1,
E43614,泵磨损,1,
E43616,泵盖螺钉松动,1,
E43617,定子内表面磨损,1,
E43621,吸油口堵塞,1,
E43624,清除堵塞,1,
E43625,吸入滤油器被堵塞,1,
E43634,液压马达内部泄漏,1,
E43640,系统密封不严而泄漏,1,
E43641,轴向间隙过大,1,
E43643,内部泄漏,1,
E43644,动机各接合面严重泄漏,1,
E43649,隔绝外界振源外部泄漏,1,
E43651,旋紧管塞内部泄漏,1,
E43654,紧固螺栓松动,1,
E43659,加速密封件磨损,1,
E43660,紧固螺钉松动,1,
E43661,管接头松动,1,
E43662,防尘圈老化,1,
E43666,调压弹簧变形,1,
E43669,滑阀阻尼孔堵塞,1,
E43670,先导阀阻尼孔堵塞,1,
E43671,先导阀泄油孔堵塞,1,
E43672,电磁铁线圈短路,1,
E43673,控制线路短路,1,
E43674,电磁铁线圈断路,1,
E43675,电磁铁接插件松动,1,
E43677,阻尼孔被污物堵塞,1,
E43678,阻尼孔被堵塞,1,
E43679,阻尼孔堵塞,1,
E43680,有泄漏,1,
E43682,节流口堵塞,1,
